year,month,day,address,category,description
2022,4,16,35 Charles Street,VERBAL DISPUTE,A report of a verbal dispute. Officers attended all in order.
2022,4,16,78 Queen's Park ,SUSPICIOUS PERSON,A report of a suspicious person in the area. Officers attended all in order. 
2022,4,16,130 St. George Street,POLICE ASSISTANCE,A report of a medical call. Officers attended all in order no medical attention required. 
2022,4,16,21 Sussex Avenue,POLICE ASSISTANCE,A request to assist an outside agency. 
2022,4,15,100 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person in the area. 
2022,4,15,160 College Street,THEFT,A report of a stolen laptop.
2022,4,15,55 St. George Street,MISCHIEF,A report of a sticker applied to a no skateboarding sign. 
2022,4,13,"107 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF UNWANTED PERSON.  PARTY WAS GONE UPON OFFICERS ARRIVAL.
2022,4,13,"60 SUSSEX AVENUE, TORONTO",EMERGENCY PHONE,CAMPUS SAFETY RECEIVED A CODE BLUE EMERGENCY PHONE CALL.  OFFICERS ATTENDED; NO ONE IN DISTRESS OR REQUIRING ASSISTANCE.
2022,4,13,"107 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF UNWANTED PERSONS.  PARTIES LEFT WITHOUT INCIDENT.
2022,4,13,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS ENGAGING IN PROHIBITED ACT.  PARTIES LEFT WHEN DIRECTED.
2022,4,13,"71 PRINCE ARTHUR AVENUE, TORONTO",UNWANTED PERSON,REPORT OF UNWANTED PERSONS.  
2022,4,13,"10 KING'S COLLEGE ROAD, TORONTO",INSECURE PREMISES,OFFICERS LOCATED AN INSECURE PREMISES; ALL APPEARED IN ORDER AFTER INVESTIGATION.
2022,4,13,"55 HARBORD STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.  PERSON LEFT WHEN DIRECTED BY OFFICERS
2022,4,13,"1 SPADINA CRESCENT, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,4,13,"1 SPADINA CRESCENT, TORONTO",THEFT,REPORT OF A THEFT OF A BICYCLE FRONT WHEEL SET.
2022,4,13,"255 HURON STREET, TORONTO",SUSPICIOUS PERSON,REPORTS OF A PERSONS INTERUPTING A CLASS.  PARTY LEFT PRIOR TO OFFICERS ARRIVAL AND NO SAFETY CONCERNS.
2022,4,13,"89 CHESTNUT STREET, TORONTO",FIRE ALARM,FIRE ALARM ACCIDENTALLY ACTIVATED DUE TO CONSTRUCTION IN AREA.
2022,4,12,"71 PRINCE ARTHUR AVENUE, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.  PARTY LEFT WITHOUT INCIDENT.
2022,4,12,"30 CHARLES STREET WEST, TORONTO",FIRE ALARM,CAMPUS SAFETY ATTENDED A FIRE ALARM ALONG WITH TORONTO FIRE SERVICES.  SMOLDERING PAPERS EXTINGUISHED BY TORONTO FIRE SERVICES.
2022,4,12,"71 QUEEN'S PARK CRESCENT, TORONTO",FALSE ALARM OF FIRE,FIRE PULL STATION ACTIVATED WITHOUT CAUSE.
2022,4,12,"HARBORD STREET &amp; SPADINA AVENUE, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.
2022,4,12,"100 ST. GEORGE STREET, TORONTO",SUSPICIOUS PERSON,A PERSON REPORTED A SUSPICIOUS PERSON.  PERSONS WAS GONE PRIOR TO OFFICERS ARRIVAL.
2022,4,12,"4 GLEN MORRIS STREET, TORONTO",MISCHIEF,REPORT OF A MISCHIEF (NOT GANG/HATE RELATED).
2022,4,12,"7 HART HOUSE CIRCLE, TORONTO",SUSPICIOUS PACKAGE,REPORT OF A SUSPICIOUS PACKAGE; ALL IN ORDER.
2022,4,12,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  PARTIES LEFT WHEN DIRECTED.
2022,4,12,"45 WILLCOCKS STREET, TORONTO",TRESPASS TO PROPERTY ACT,PERSON WAS CAUTIONED FOR TRESPASSING.
2022,4,12,"60 HARBORD STREET, TORONTO",SUSPICIOUS PERSON,A PERSON REPORTED A SUSPICIOUS PERSON.  
2022,4,12,"40 WILLCOCKS STREET, TORONTO",THEFT OF BICYCLE,REPORT OF A PERSON STEALING A BICYCLE.  INVESTIGATED AND DETERMINED TO BE RIGHTFUL OWNERS.
2022,4,11,"100 DEVONSHIRE PLACE, TORONTO",PROPERTY DAMAGE,REPORT OF PROPERTY DAMAGE.  NOT CRIMINAL IN NATURE.
2022,4,11,"130 ST. GEORGE STREET, TORONTO",THEFT,REPORT OF A THEFT; INVESTIGATION REVEALED PROPERTY TO BE LOST AND NOT STOLEN.
2022,4,11,"563 SPADINA CRESCENT, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.  PARTY WAS GONE PRIOR TO OFFICERS ARRIVAL.
2022,4,11,"71 PRINCE ARTHUR AVENUE, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.  PERSONS LEFT WHEN DIRETED.
2022,4,11,"107 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.  PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,4,6,75 Queen's Park ,PERSON WELL-BEING CHECK,A report of a person sleeping outside of the building. Officers attended all in order. 
2022,4,5,60 Harbord Street,MISCHIEF,A report of graffiti writing on exterior entrance door. 
2022,4,5,100 St. George Street,MISCHIEF,A report of graffiti writing found in washroom area. 
2022,4,5,35 St. George Street,UNWANTED PERSON,A report of skateboarders in the area. Individuals left when directed. 
2022,4,5,35 St. George Street,UNWANTED PERSON,A report of skateboarders in the area. Individuals left prior to officer arrival. 
2022,4,5,35 St. George Street,UNWANTED PERSON,A report of several skateboarders in the area. All parties left when directed. 
2022,4,4,371 Bloor Street,ALARM,A report of a fire panel indicator for a sprinkler. Toronto Fire attended all in order. 
2022,4,3,55 Harbord Street,UNWANTED PERSON,A report of a person causing a disturbance in the area. Individual left property when directed. 
2022,4,3,84 Queen's Park,TRESPASS TO PROPERTY ACT,An individual was trespassed and escorted off property. 
2022,4,3,321 Bloor Street,SUSPICIOUS PERSON,A report of a suspicious person outside the main entrance. Individual gone prior to officer arrival. 
2022,4,3,21 Sussex Avenue,POLICE INFORMATION,A person reported an unwanted message via social media. 
2022,4,2,35 St. George Street,UNWANTED PERSON,A report of skateboarders in the area. Individuals left when directed. 
2022,4,2,40 Willcocks Street,SUSPICIOUS PERSON,A report of a suspicious person inside the building. Individual left when directed. 
2022,4,2,130 St. George Street,MISCHIEF,A report of graffiti writing inside washrooms. 
2022,4,2,125 St. George Street,INSECURE PREMISE,A report of an insecure door. Officers attended door re-secured all in order. 
2022,4,2,45 St. George Street,UNWANTED PERSON,A report of skateboarders in the area. Individuals left when directed. 
2022,4,2,35 St. George Street,UNWANTED PERSON,A report of several skateboarders. All left when directed.
2022,4,2,55 Harbord Street,UNWANTED PERSON,A report of a suspicious person in the area. Individual was escorted off property. 
2022,4,2,21 Sussex Avenue,FRAUD,A person reported a fraudulent job application. 
2022,4,2,60 Hardord Street,POLICE ASSISTANCE,A report of a minor injury requiring first aid. No further medical attention required. 
2022,4,1,21 Sussex Avenue,POLICE INFORMATION,A request to assist an outside agency. 
2022,4,1,15 King's College Circle,ALARM,A report of a fire alarm triggered. Toronto Fire attended and cleared. 
2022,3,31,Queen's Park Crescent,IMPAIRED/OVER 80,A non-community member was arrested for impaired off property. 
2022,3,30,2 Sussex Avenue ,POLICE INFORMATION,A report of a suspicious person inside the building. Area checked with negative results. 
2022,3,30,299 Bloor Street West,SUSPICIOUS PERSON,A report of a suspicious person in the area. Individual left the property. 
2022,3,30,55 St. George Street,PERSON WELL-BEING CHECK,A report of a non-community member sleeping inside the building. Individual left when directed.
2022,3,30,10 King's College ,SUSPICIOUS INCIDENT,A report of a person rollerblading in the basement. Individual was gone prior to officer arrival. 
2022,3,30,5 King's College Road,PERSON WELL-BEING CHECK,A report of a person sleeping at a table. Officers attended all in order. 
2022,3,30,22 Russell Street,UNWANTED PERSON,A report of a suspicious person in the building refusing to leave. Individual gone prior to officer arrival. 
2022,3,28,70 St. Mary Street,UNWANTED PERSON,A report of a suspicious person inside the building. Officers attended and the individual was escorted off property. 
2022,3,28,255 Huron Street,PROPERTY DAMAGE,A report of fluid leaking from a vehicle. Fluid was not hazardous and cleaned up by transportation services. 
2022,3,28,No Address,PERSON WELL-BEING CHECK ,A report of a person sleeping in their car. Officers attended all in order. 
2022,3,28,144 College Street,POLICE ASSISTANCE,A report of a person stuck in the loading dock area. Officers attended all in order. 
2022,3,27,"55 HARBORD STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON; NON-COMMUNITY MEMBER UNABLE TO CARE FOR HIMSELF AND TRANSPORTED TO CAMH.
2022,3,27,"20 WILLCOCKS STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERON; PARTY LEFT AREA.
2022,3,27,"40 WILLCOCKS STREET, TORONTO",ALARM,TORONTO FIRE SERVICES DETERMINED CAUSE OF FIRE ALARM; ALL IN ORDER (NO FIRE).
2022,3,27,"81 ST. MARY STREET, TORONTO",TRESPASS TO PROPERTY ACT,PERSON WAS CAUTIONED FOR TRESPASSING BY OFFICERS.
2022,3,27,"321 BLOOR STREET WEST, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; LEFT AREA PRIOR TO OFFICERS ARRIVAL.
2022,3,26,"321 BLOOR STREET WEST, TORONTO",POLICE INFO,PERONS SEEKING CAMPUS SAFETY ASSISTANCE FOR AN OFF CAMPUS INCIDENT.
2022,3,26,"474 SPADINA AVENUE, TORONTO",POLICE INFO,REPORT OF A SUSPICIOUS PERSON; OFF CAMPUS.
2022,3,26,"20 WILLCOCKS STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.
2022,3,26,"160 COLLEGE STREET, TORONTO",MISCHIEF,REPORT OF MISCHIEF TO PROPERTY (NOT GANG/HATE RELATED).
2022,3,25,"30 CHARLES STREET WEST, TORONTO",MISCHIEF,A PERSON REPORTED MISCHIEF.
2022,3,25,"100 DEVONSHIRE PLACE, TORONTO",THEFT,REPORT OF A THEFT.
2022,3,25,"170 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON; LEFT WHEN DIRECTED.
2022,3,25,"1 KING'S COLLEGE CIRCLE, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; PARTY WAS GONE UPON OFFICERS ARRIVAL.
2022,3,25,"35 ST. GEORGE STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.
2022,3,25,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS ENGAGING IN A PROHIBITED ACT; PARTIES LEFT AREA.
2022,3,25,"21 SUSSEX AVENUE, TORONTO",POLICE ASSISTANACE,PERSON SEEKING ASSISTANCE AND PROVIDED RESOURCES.
2022,3,25,"55 HARBORD STREET, TORONTO",THEFT,REPORT OF A THEFT OFF CAMPUS; TORONTO POLICE SERVICE INVESTIGATING.
2022,3,25,"21 SUSSEX AVENUE, TORONTO",POLICE INFO,REPORT OF A FRAUDULENT CREDIT CARD CHARGE; DIRECTED TO TORONTO POLICE SERVICE
2022,3,25,"101 COLLEGE STREET, TORONTO",POLICE ASSISTANACE,PERSON DIRECTED TO TORONTO POLICE SERVICE.
2022,3,24,"222 COLLEGE STREET, TORONTO",BREAK &amp; ENTER,REPORT OF A BREAK AND ENTER. 
2022,3,24,"252 BLOOR STREET WEST, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  ALL PARTIES LEFT UPON OFFICER DIRECTION.
2022,3,24,"252 BLOOR STREET WEST, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.  PARTY LEFT UPON OFFICERS DIRECTION.
2022,3,24,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS ENGAGING IN A PROHIBITED ACT.  PARTIES LEFT UPON DIRECTION.
2022,3,24,"81 ST. MARY STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING; PARTIES LEFT AREA WITHOUT INCIDENT.
2022,3,24,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  PARTIES LEAVING UPON OFFICERS ARRIVAL.
2022,3,24,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  PARTIES LEFT ARAE PRIOR TO OFFICERS ARRIVAL.
2022,3,24,"21 SUSSEX AVENUE, TORONTO",PROPERTY DAMAGE,"A PERSON REPORT A WATER LEAK, CAUSING PROPERTY DAMAGE."
2022,3,24,"81 ST. MARY STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  PARTIES GONE UPON OFFICERS ARRIVAL.
2022,3,24,"71 PRINCE ARTHUR AVENUE, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.  PARTY LEFT UPON OFFICERS DIRECTIONS.
2022,3,24,"5 KING'S COLLEGE ROAD, TORONTO",INSECURE PREMISES,OFFICERS LOCATED AN INSECURE PREMISES; ALL IN ORDER.
2022,3,24,"89 CHESTNUT STREET, TORONTO",ALARM,TORONTO FIRE SERVICES INVESTIGATED CAUSE OF FIRE ALARM; ALARM DEEMED FALSE.
2022,3,24,"55 ST. GEORGE STREET, TORONTO",FRAUD,A FRAUD WAS REPORTED.
2022,3,24,"487 SPADINA CRESCENT, TORONTO",THEFT,REPORT OF A CATALYTIC CONVERTER FROM A MOTOR VEHICLE.
2022,3,24,"25 WILLCOCKS STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,3,23,89 Charles Street West,POLICE ASSISTANCE,A request to assist an outside agency. 
2022,3,23,91 Charles Street,DISTURB THE PEACE,A report of loud music playing in the area. All in order.
2022,3,22,21 Sussex Avenue,POLICE INFORMATION,A report of a suspicious voicemail. 
2022,3,22,30 Charles Street,ALARM,A report of a fire alarm. Toronto Fire attended smoke alarms triggered in underground. All in order. 
2022,3,22,10 King's College Road,MISCHIEF,A report of signage being removed from a construction site. Officers attended all in order. 
2022,3,22,19 Ursula Franklin ,POLICE INFORMATION,A report of a suspicious person in the area. Area searched with negative results. 
2022,3,22,140 Charles Street West,POLICE INFORMATION,Third party report of a suspicious person in the area. Officers attended all in order. 
2022,3,22,55 Harbord Street,TRESPASS TO PROPERTY,A report of a suspicious person inside the building. Individual was trespassed and escorted out of the building. 
2022,3,22,35 St. George Street,UNWANTED PERSON,A report of skateboarders in the area. Parties left when directed. 
2022,3,22,35 St. George Street,POLICE ASSISTANCE,A report of individuals not following PPE guidelines. 
2022,3,22,19 Ursula Franklin ,THEFT,A report of a bicycle theft. 
2022,3,21,OFF CAMPUS,FRAUD,PERSON REPORTED A FRAUD AND REFERRED TO TORONTO POLICE SERVICE.
2022,3,21,"107 ST. GEORGE STREET, TORONTO",MISCHIEF,REPORT OF A MISCHIEF TO PROPERTY (NOT GANG/HATE RELATED).
2022,3,21,"150 ST. GEORGE STREET, TORONTO",MISCHIEF,REPORT OF A MISCHIEF TO UofT PROPERTY.  
2022,3,21,"22 URSULA FRANKLIN STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.  PARTY LEFT WHEN DIRECTED BY OFFICERS AND REFUSED ASSISTANCE.
2022,3,21,OFF CAMPUS,SUSPICIOUS INCIDENT,PERSONS REPORTED A CLASS ZOOM INTERUPTION.  TORONTO POLICE SERVICE CONTINUED INVESTIGATION.
2022,3,21,"35 ST. GEORGE STREET, TORONTO",SUSPICIOUS CIRCUMSTANCES,REPORT OF UNAUTHORIZED POSTERS DISPLAYED WITHIN BUILDING.  NOT CRIMINAL IN NATURE.
2022,3,21,OFF C AMPUS,HARASSMENT,A PERSON REPORTED HARASSMENT.
2022,3,20,"9 KING'S COLLEGE CIRCLE, TORONTO",MISCHIEF,REPORT OF PERSONS TAMPERING WITH EQUIPMENT.  PARTIES LEFT PRIOR TO OFFICERS ARRIVAL; ALL IN ORDER.
2022,3,20,"1 KING'S COLLEGE CIRCLE, TORONTO",WELL-BEING CHECK,CONCERN FOR A PERSONS WELL-BEING.  PARTY WAS ABLE TO CARE FOR THEMSELVES.
2022,3,19,"5 KING'S COLLEGE ROAD, TORONTO",IMPAIRED DRIVING,A NON-COMMUNITY MEMBER WAS ARRESTED FOR IMPAIRED DRIVING.
2022,3,19,"55 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF A UNWANTED PERSON IN THE BUILDING.  PARTY LEFT UPON OFFICERS DIRECTIONS.
2022,3,19,"255 HURON STREET, TORONTO",MISCHIEF,REPORT OF MISCHIEF TO A MOTOR VEHICLE.
2022,3,19,"89 CHESTNUT STREET, TORONTO",WELL-BEING CHECK,PERSON REPORTED A CONCERN FOR SOMEONES WELLBEING.  ALL IN ORDER.
2022,3,19,"20 WILLCOCKS STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.  PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,3,19,"55 ST. GEORGE STREET, TORONTO",MISCHIEF,REPORT OF MISCHIEF TO PROPERTY (NOT GANG/HATE RELATED).
2022,3,19,"45 WILLCOCKS STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON; ALL IN ORDER.
2022,3,19,"107 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  PERSONS LEFT WHEN DIRECTED BY OFFICERS.
2022,3,18,"10 KING'S COLLEGE ROAD, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  TRESPASSERS LEFT AREA WITHOUT OFFICER INTERACTION.
2022,3,18,"124 EDWARD STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.  PARTY LEFT UPON OFFICERS DIRECTION.
2022,3,18,"167 COLLEGE STREET, TORONTO",SUSPICIOUS PERSON,CAMPUS SAFETY RECEIVED A REPORT OF A SUSPICIOUS PERSON.  PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,3,18,"255 MCCAUL STREET, TORONTO",WARRANT,NON-COMMUNITY MEMBER REPORTED TRESPASSING.  PARTY WAS ARRESTED BY OFFICERS ON A BENCH WARRANT.
2022,3,18,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  PARTIES LEFT PRIOR TO OFFICERS ARRIVAL.
2022,3,18,"321 BLOOR STREET WEST, TORONTO",TRESPASS TO PROPERTY ACT &amp; BENCH WARRANT,"CAMPUS SAFETY RECEIVED A REPORT OF A PERSON MAKING PEOPLE FEEL UNSAFE.  OFFICERS ATTENDED, NON-COMMUNITY MEMBER WAS ARRESTED FOR TRESPASSING AND AN OUTSTANDING BENCH WARRANT."
2022,3,18,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS TRESPASSING.  PARTIES LEFT UPON OFFICERS DIRECTION.
2022,3,18,"569 SPADINA AVENUE, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSON TRESPASSING.  PARTY WAS CAUTIONED FOR TRESPASSING BY OFFICERS.
2022,3,18,"1 DEVONSHIRE PLACE, TORONTO",VIP VISIT,CAMPUS SAFETY PROVIDED AN ESCORT FOR A VIP ON ST. GEORGE CAMPUS.
2022,3,17,"80 ST. GEORGE STREET, TORONTO",BENCH WARRANT,PERSON ARRESTED ON A BENCH WARRANT.
2022,3,17,"252 BLOOR STREET WEST, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.  ALL IN ORDER.
2022,3,17,"71 PRINCE ARTHUR AVENUE, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.  PARTY LEFT UPON OFFICERS DIRECTION.
2022,3,17,"21 CLASSIC AVENUE, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.  PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,3,17,"20 WILLCOCKS STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON.  PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,3,17,OFF CAMPUS,SUSPICIOUS CIRCUMSTANCES,REPORT OF A UNIVERSITY OF TORONTO E-MAIL ACCOUNT BEING HACKED.
2022,3,17,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERONS TRESPASSING.  PARTIES LEFT WHEN DIRECTED.
2022,3,17,"11 KING'S COLLEGE ROAD, TORONTO",INSECURE PREMISE,REPORT OF AN INSECURE PREMISE.  OFFICERS INVESTIGATED AND ALL APPEARED IN ORDER.
2022,3,17,"27 KING'S COLLEGE CIRCLE, TORONTO",PEACEFUL PROTEST,REPORT OF A PEACEFUL PROTEST.
2022,3,17,"40 WILLCOCKS STREET, TORONTO",UNWANTED PERSON,REPORT OF A PERSON LOITERING IN THE BUILDING.  PARTY WAS GONE UPON OFFICERS ARRIVAL.
2022,3,17,OFF CAMPUS,SUSPICIOUS CIRCUMSTANCES,COMMUNITY MEMBER PROVIDED WITH UNIVERSITY OF TORONTO RESOURCES.
2022,3,17,35 Charles Street,POLICE INFORMATION,A person reported not hearing from a family member. Toronto Police was notified and attended. 
2022,3,17,246 Bloor Street,POLICE ASSISTANCE,A non-community member requiring medical attention. EMS attended and transported. 
2022,3,17,"100 ST. GEORGE STREET, TORONTO",MEDICAL,PERSON REQUIRING MEDICAL AID WAS TRANSPORTED TO HOSPITAL BY PARAMEDICS.
2022,3,17,"80 ST. GEORGE STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.  OFFICERS ATTENDED AND PARTY WAS GONE UPON ARRIVAL.
2022,3,16,55 St. George Street,ALARM,"A report of an insecure door. Officers attended, engineers were notified to attend. "
2022,3,16,"10 KING'S COLLEGE ROAD, TORONTO",SEXUAL ASSAULT,REPORT OF A SEXUAL ASSAULT.
2022,3,16,100 St. George Street,POLICE INFORMATION,A report of a peaceful protest in the area. 
2022,3,16,600 Dundas Street West,POLICE INFORMATION,A report of a stolen vehicle that was later located. Investigation on-going
2022,3,16,9 King's College Circle,ALARM,A report of a low battery alarm. Officers attended and checked the area with negative results. 
2022,3,16,35 St. George ,SUSPICIOUS PERSON,A report of several skateboarders in the area. Individuals left when directed. 
2022,3,16,215 Huron Street,UNWANTED PERSON,A report of a person sleeping in the loading dock. Officers attended and individual left when directed. 
2022,3,15,160 College Street,POLICE ASSISTANCE,A report of a package received at the wrong building. Individual directed to contact the delivery company. 
2022,3,15,60 Harbord Street,UNWANTED PERSON,A report of a suspicious person in the area. Individual escorted off property. 
2022,3,15,90 Wellesley,POLICE ASSISTANCE,A request to help locate personal belongings locked in a room. 
2022,3,15,252 Bloor Street West,MISCHIEF,A report of several pull station covers knocked off the holdings. 
2022,3,15,80 Queen's Park ,MISCHIEF,A report of damage inside the building. Investigation on-going. 
2022,3,14,107 St. George Street,ALARM,A report of an elevator alarm. Officers attended all in order pressed by accident. 
2022,3,14,5 King's College Road,INSECURE PREMISE,A report of a door found insecure. Officers attended all in order.
2022,3,14,80 Queen's Park ,POLICE ASSISTANCE,A report of a medical call. EMS attended the area. 
2022,3,14,1 King's College Circle,ALARM,A report of a fire alarm due to a water flow monitor. Toronto Fire attended and cleared. 
2022,3,14,107 St. George ,MISCHIEF,A report of graffiti in the parking underground. 
2022,3,13,20 Willcocks Street,SUSPICIOUS PERSON,A report of suspicious person in the area. Individual left when directed. 
2022,3,13,160 College Street,POLICE ASSISTANCE,A report of a person in the loading dock area unable to exit. Officers attended all in order. 
2022,3,12,1 King's College Circle,MISCHIEF,A report of graffiti on a laneway wall.
2022,3,12,246 Bloor Street ,ALARM,A report of an emergency phone triggered. Officers attended and searched the area with negative results. 
2022,3,11,60 Harbord Street,UNWANTED PERSON,A report of skateboarders in the area. All parties left when directed.
2022,3,11,21 Sussex Avenue,POLICE INFORMATION,A request to assist an outside agency. 
2022,3,11,125 St. George Street,POLICE ASSISTANCE,A request to assist an outside agency. 
2022,3,11,255 Huron Street,SUSPICIOUS PERSON,A report of a suspicious person in the area. Individual left when directed.
2022,3,11,89 Chestnut Street,MISCHIEF,A report of two vehicles driving through parking garage arm causing damage. Investigation on-going. 
2022,3,11,40 St. George Street,PERSON WELL-BEING CHECK,A report of a person sleeping at the building entrance. Officers attended all in order.
2022,3,10,150 College Street,PERSON WELL-BEING CHECK,A report of a person sleeping in the area. Officers attended the area all in order. 
2022,3,10,725 Spadina Avenue ,THEFT,A report of a stolen bicycle.
2022,3,10,80 Queen's park,TRESPASS TO PROPERTY ACT,A report of a known trespasser in the building. Individual was trespassed and escorted off property. 
2022,3,10,35 Charles Street,THEFT,A report of a stolen bicycle basket. 
2022,3,10,89 St. George Street,MISCHIEF,A report of graffiti writing on building air conditioner. 
2022,3,10,321 Bloor Street,SUSPICIOUS PERSON,A report of a suspicious person in the area. Individual left the property. 
2022,3,10,55 St. George Street,MISCHIEF,A report of cyclists in the underground. Individuals left when directed. 
2022,3,10,321 Bloor Street,SUSPICIOUS PERSON,A report of suspicious person inside the building. Individual trespassed and escorted off property. 
2022,3,9,45 Willcocks Street,SUSPICIOUS INCIDENT,A report of a verbal dispute off property. Officers attended the area all in order. 
2022,3,9,35 St. George Street,UNWANTED PERSON,A report of skateboarders in the area. Individual left prior to officer arrival. 
2022,3,8,30 Charles Street West,MICHIEF,A report of graffiti writing found on a fire hose cabinet. 
2022,3,8,55 St. George Street,SUSPICIOUS VEHICLE,A report of a suspicious vehicle parked in the underground. Officers attended to investigate all in order. 
2022,3,8,55 Sussex Ave,UNWANTED PERSON,A report of a suspicious person in the area. Officers attended all in order. 
2022,3,8,105 St. George Street,POLICE INFORMATION,A report of leaves smoking and starting to burn in the area. Officers attended to investigate all in order. 
2022,3,7,89 Chestnut ,PROPERTY DAMAGE,A report of a flood due to a burst pipe.
2022,3,7,Harbord Street,SUSPICIOUS PERSON,A report of a suspicious person in the area. Officers attended all in order. 
2022,3,7,21 Classic Avenue,UNWANTED PERSON,A report of a suspicious person inside the building. Officers searched the area with negative results. 
2022,3,7,89 Chestnut ,MISCHIEF,A report of a vehicle breaking gate parking arm. Vehicle let the area shortly after. Investigation on-going. 
2022,3,7,55 St. George Street,POLICE INFORMATION,A report of graffiti writing on a sign. 
2022,3,7,140 Charles Street,SUSPICIOUS INCIDENT,A report of a person possibly in distress in the area. Area searched with negative results. 
2022,3,6,5 Hoskin Avenue,POLICE INFORMATION,A report of a fence falling over in a construction zone. Area cautioned taped off for
2022,3,6,81 St. Mary Street,UNWANTED PERSON,A report of skateboards in the loading dock area. Left prior to officer arrival. 
2022,3,4,60 Harbord Street,UNWANTED PERSON,A report of skateboarders in the area. All parties left when directed. 
2022,3,4,21 King's College Circle ,SUSPICIOUS VEHICLE,A report of a suspicious vehicle in the area. Officers attended to investigate all in order. 
2022,3,4,170 College Street,MISCHIEF,Graffiti writing observed on a bulletin board. 
2022,3,4,35 St. George Street,UNWANTED PERSON,A report of skateboarders in the area. All parties left when directed. 
2022,3,3,125 St. George Street,PERSON WELL-BEING CHECK,A report of an individual sleeping on the exterior steps. Officers attended all in order. 
2022,3,3,214 College Street,PROPERTY DAMAGE,A report of a broken wood panel from a door. Damage has been fixed. 
